"ucsc","entrezgene_id"
"uc001aef.2","54973"
"uc001bdu.1","400745"
"uc001bgn.3","3352"
"uc001dby.3","205"
"uc001djq.3","5567"
"uc001eah.1","10390"
"uc001ezs.1","126638"
"uc001fbx.3","6276"
"uc001hcb.2","9911"
"uc001hpo.3","10637"
"uc001ihc.1",NA
"uc001ivj.2","1326"
"uc001kxs.3","119392"
"uc001kyy.3","4601"
"uc001nbv.1","120071"
"uc001nfh.2","5702"
"uc001oem.2","23625"
"uc001oii.1",NA
"uc001qrv.1","2026"
"uc001qsa.1","5777"
"uc001rgb.1","144360"
"uc001ryv.4","9498"
"uc001sjb.1","64375"
"uc001vhu.3","81624"
"uc001vuk.1","8881"
"uc001wqv.2","29966"
"uc001xie.2","4149"
"uc001yfc.4","8115"
"uc002bto.2",NA
"uc002bwb.3","204219"
"uc002cfl.4","64285"
"uc002cot.1","5310"
"uc002czh.2","23589"
"uc002daj.4","4261"
"uc002dhs.3","112479"
"uc002dmt.4","115584"
"uc002duj.3","9961"
"uc002eyk.3","283971"
"uc002fms.3","283860"
"uc002htg.3","55876"
"uc002ivg.1",NA
"uc002kmz.4","91133"
"uc002loq.4","25759"
"uc002lzf.1","26812"
"uc002mfv.2","7409"
"uc002noo.3","91120"
"uc002oay.3","27033"
"uc002qgn.3","11006"
"uc002qse.3","503538"
"uc002qxh.1","101927554"
"uc002ral.3","3241"
"uc002rbf.4","1876"
"uc002rkt.3","200634"
"uc002sju.3","10617"
"uc002vdv.3","151050"
"uc002wax.2","50636"
"uc002wpp.3","631"
"uc002wzh.1","9139"
"uc002xyp.3","81030"
"uc002ybq.1",NA
"uc002yyu.3","100506492"
"uc002zcy.1","7307"
"uc002zja.3","54058"
"uc002zmx.4","23786"
"uc003aua.2",NA
"uc003bqc.3","3708"
"uc003buy.1","2177"
"uc003ccr.3","6138"
"uc003cvj.2","11180"
"uc003djs.4","57406"
"uc003dyr.1","79669"
"uc003dzi.1","344807"
"uc003eht.4","84561"
"uc003ejg.3","5361"
"uc003ejj.3","101927123"
"uc003fcd.3","85476"
"uc003fxj.1","100507057"
"uc003fxn.4","1739"
"uc003gcl.1",NA
"uc003gph.1","51056"
"uc003gpz.3","133015"
"uc003gti.3","81793"
"uc003gtk.3","81793"
"uc003hzw.4","345193"
"uc003ivw.3","60684"
"uc003ixg.3","57587"
"uc003jcj.1",NA
"uc003kdd.3","3074"
"uc003lcd.1","7478"
"uc003mtk.1",NA
"uc003npr.3","7726"
"uc003oqs.1","7942"
"uc003ouz.1","89845"
"uc003pbs.2","60481"
"uc003piy.3","167691"
"uc003pot.2","9457"
"uc003qdc.3","100507254"
"uc003qeo.4","6446"
"uc003siq.1",NA
"uc003slu.1","4521"
"uc003tnx.3","84847"
"uc003trm.1","908"
"uc003tsx.3","168417"
"uc003tzg.4","1365"
"uc003wdc.1","259287"
"uc003whc.2","29803"
"uc003whi.1","285972"
"uc003xat.3","55806"
"uc003yak.1",NA
"uc003zeq.4","58500"
"uc004bec.2","5774"
"uc004cax.3","10585"
"uc004cfy.3","101928525"
"uc004cuz.2","9758"
"uc004dph.3","170685"
"uc004ejm.3","114928"
"uc004ejm.3","100528062"
"uc009vte.3","5724"
"uc009wdc.3","8317"
"uc009wuw.1","339512"
"uc009xxt.2","7511"
"uc009yrp.3","57571"
"uc009yxz.3","5962"
"uc009yzb.3",NA
"uc009zpm.1","22864"
"uc009zro.3","4848"
"uc010aqc.1","2100"
"uc010byb.3","728689"
"uc010dkl.3","103910"
"uc010ezr.2","55676"
"uc010liz.3","5649"
"uc010ojv.1","149461"
"uc010pbx.2","51107"
"uc010pfa.2","80128"
"uc010pqv.2","5287"
"uc010pxc.1","27185"
"uc010qdi.2","10006"
"uc010qso.3","57698"
"uc010rat.2","283297"
"uc010rht.2","390113"
"uc010rkj.2","9404"
"uc010tap.2","55206"
"uc010ukk.2","5315"
"uc010vre.2","8388"
"uc010vui.2","55135"
"uc010ydq.2","81856"
"uc010yej.1","29844"
"uc010zde.2","10170"
"uc011aea.1","100133286"
"uc011ccz.2","4299"
"uc011cww.2","65983"
"uc011djp.2","9856"
"uc011dwx.2","60481"
"uc011jvq.2","23353"
"uc011lkk.2","1936"
"uc011lpn.3","9833"
"uc011lub.2","83744"
"uc011lvp.2","138799"
"uc011lyu.2","347168"
"uc011mdh.1","11094"
"uc011mop.2","11279"
"uc011mow.2","55906"
"uc021oyf.1","4170"
"uc021oyf.1","574406"
"uc021pae.1","109617023"
"uc021pdx.1","100505795"
"uc021pql.1","109616974"
"uc021qmv.1","10068"
"uc021qvs.1","729025"
"uc021rca.1",NA
"uc021smx.1",NA
"uc021tke.1",NA
"uc021tmj.1","54758"
"uc021uaa.1",NA
"uc021utr.1","374899"
"uc021vqa.1",NA
"uc021vqh.1","9839"
"uc021vuk.2","91526"
"uc021wgs.1","4987"
"uc021wpl.1","84645"
"uc021zfz.2","10370"
"uc021zga.2","10370"
"uc021zyh.1","441307"
"uc022azk.1",NA
"uc022blg.1",NA
"uc031pph.1","27173"
"uc031pqg.1","79957"
"uc031pql.1","112770"
"uc031psd.1",NA
"uc031pti.1","9317"
"uc031pwl.1","84332"
"uc031qkx.1","100874158"
"uc031qmf.1","100874151"
"uc031run.1","768097"
"uc031scp.1","100873982"
"uc031sgy.1","10252"
"uc031sqq.1",NA
"uc031swz.1","100874264"
"uc031syn.1","56996"
"uc001aqz.3","23095"
"uc001asl.3","93611"
"uc001avi.3","7799"
"uc001bgy.1","55616"
"uc001cni.3","4595"
"uc001fkh.1","284618"
"uc001gpo.2","80896"
"uc001hum.3","128061"
"uc001hux.1","27185"
"uc001iks.1","9712"
"uc001ila.3","26019"
"uc001jar.2","3185"
"uc001jdr.1","26095"
"uc001jtc.3","90550"
"uc001jvm.2","818"
"uc001kpb.3","84795"
"uc001llo.1","3632"
"uc001mff.1","100506258"
"uc001msy.1","196294"
"uc001olx.3","9600"
"uc001osh.4",NA
"uc001osz.4","10809"
"uc001pkc.1","472"
"uc001ppk.4","23705"
"uc001rfo.4","6489"
"uc001srs.2","10329"
"uc001twb.4","84900"
"uc001uab.3","10645"
"uc001ucg.2","6249"
"uc001vaa.1","677814"
"uc001vjx.1","4008"
"uc001voq.2","87769"
"uc001xfm.3",NA
"uc001xhc.3","7597"
"uc001xvi.1","677845"
"uc001yyf.3",NA
"uc002avk.1","100287559"
"uc002bjc.3","677778"
"uc002clo.3","64718"
"uc002cvz.4","6345"
"uc002czu.3","80063"
"uc002ezg.1","692214"
"uc002fey.1","101928203"
"uc002gfr.3","1984"
"uc002gja.3","84316"
"uc002hsc.3","84152"
"uc002ikg.3","9884"
"uc002kkt.4","55556"
"uc002klo.3","9663"
"uc002knq.2","23255"
"uc002ldt.2","26790"
"uc002nla.1","10147"
"uc002nrp.1",NA
"uc002oci.1","84807"
"uc002phh.4","29998"
"uc002pjg.3",NA
"uc002qco.3","91663"
"uc002qpd.4","162972"
"uc002rat.3","245973"
"uc002rhy.1",NA
"uc002rnj.3","253558"
"uc002rrq.3",NA
"uc002sed.1","116143"
"uc002sjy.3","1716"
"uc002skw.2","1639"
"uc002tha.2","10018"
"uc002ujm.4","1386"
"uc002wch.3","728294"
"uc002wfm.1","55423"
"uc002wke.3","80025"
"uc002wpv.1","6238"
"uc002xhb.3","10904"
"uc002xlm.3","100505783"
"uc002ynk.3","571"
"uc003avk.3","1454"
"uc003bex.2","55615"
"uc003bih.3","101927722"
"uc003bri.1","9901"
"uc003djd.1","7871"
"uc003dxz.3","257068"
"uc003fbb.3","389170"
"uc003ftp.3","285389"
"uc003hii.3",NA
"uc003hqr.3",NA
"uc003hxy.4","79807"
"uc003ibb.4","51574"
"uc003jwu.3","100506658"
"uc003kbl.1",NA
"uc003kdc.5","8507"
"uc003khp.4","23635"
"uc003khz.3","677765"
"uc003kij.3","1462"
"uc003kxt.2","23176"
"uc003lfc.1",NA
"uc003luu.1","101927115"
"uc003luw.1","101927134"
"uc003nnp.2","285830"
"uc003nsp.4","54535"
"uc003nvd.3","677820"
"uc003nvq.3","7918"
"uc003ptx.1","8936"
"uc003qqb.3","26230"
"uc003tfe.3","23366"
"uc003uzu.2","100271927"
"uc003xjn.2","80185"
"uc003xwm.3","4603"
"uc003ypf.1","101927543"
"uc003zhh.1","401491"
"uc003ztq.1","55833"
"uc003zvf.4","2592"
"uc003zxw.3","57704"
"uc004aec.3","103352539"
"uc004ajt.4","54981"
"uc004awn.1","22869"
"uc004bae.3","8013"
"uc004bcs.3","2218"
"uc004cwg.1","2187"
"uc004dlw.1",NA
"uc004ebn.2","9383"
"uc009way.2","57708"
"uc009xcx.3","55733"
"uc009yok.1","9302"
"uc010aex.1","122060"
"uc010alo.3","56413"
"uc010bfh.1","256764"
"uc010dgt.3","1018"
"uc010ell.3","692091"
"uc010ghx.4","1434"
"uc010glg.3","54072"
"uc010gpy.1","6573"
"uc010jpt.1","9856"
"uc010jsq.1","692199"
"uc010kbr.3","4907"
"uc010kcf.1","57226"
"uc010kgs.3","9053"
"uc010lep.3","79846"
"uc010mvl.2","7185"
"uc010ndq.3","6907"
"uc010ndr.3","6907"
"uc010oql.3","3595"
"uc010ovz.2","9122"
"uc010qjt.2","9806"
"uc010rnj.2","56834"
"uc010sdr.2","4815"
"uc010slg.2","196527"
"uc010suw.2","3034"
"uc010urj.2","7026"
"uc010vdj.2","27040"
"uc010xbl.1","728606"
"uc010xwi.1","5050"
"uc010zov.3","10494"
"uc011aig.3","7332"
"uc011anj.2","4242"
"uc011dtb.2","5467"
"uc011dte.1","2289"
"uc011eae.1","114792"
"uc011jvu.1","84310"
"uc011kpy.2","4850"
"uc011lvm.2","138805"
"uc021qco.1","6786"
"uc021qvo.1",NA
"uc021qyz.1","10193"
"uc021ryl.1","440193"
"uc021tzv.1","284080"
"uc021udg.1","15"
"uc021ukq.1",NA
"uc021utk.1","388536"
"uc021uyw.1","55762"
"uc021vfd.1","200634"
"uc021vhv.1",NA
"uc021wjb.1","3141"
"uc021xle.1",NA
"uc021xom.1",NA
"uc021xzq.1","100506658"
"uc022adl.1","285878"
"uc022bic.1",NA
"uc022bmi.1","944"
"uc022btj.1",NA
"uc031pqm.1","112770"
"uc031ptc.1","22884"
"uc031qiz.1","256021"
"uc031rka.1","7594"
"uc031rkd.1","83636"
"uc031rri.1","130617"
"uc031rto.1","78997"
"uc031ryi.1","100874032"
"uc031sdh.1",NA
"uc031sgz.1","10252"
"uc031sij.1","10016"
"uc031teh.1","389766"
"uc001cbp.3","54955"
"uc001ckh.4","6487"
"uc001ckm.4","6487"
"uc001ddu.3","3595"
"uc001dfl.1","5733"
"uc001eqk.1",NA
"uc001gjp.1","84614"
"uc001gnj.3","148753"
"uc001iel.1","343173"
"uc001iep.1","127068"
"uc001kbv.3","439990"
"uc001lkw.1",NA
"uc001lpk.1","6050"
"uc001lqg.3","3665"
"uc001mji.4","58486"
"uc001nch.2","8525"
"uc001ncn.1","8525"
"uc001obi.3","5871"
"uc001oxr.4","2615"
