trait_id,GeneID,Symbol,tax_id,Org_name
cell_surface_NCBI,2,A2M,9606,Homo sapiens
cell_surface_NCBI,53947,A4GALT,9606,Homo sapiens
cell_surface_NCBI,14,AAMP,9606,Homo sapiens
cell_surface_NCBI,19,ABCA1,9606,Homo sapiens
cell_surface_NCBI,26154,ABCA12,9606,Homo sapiens
cell_surface_NCBI,20,ABCA2,9606,Homo sapiens
cell_surface_NCBI,10347,ABCA7,9606,Homo sapiens
cell_surface_NCBI,5243,ABCB1,9606,Homo sapiens
cell_surface_NCBI,8647,ABCB11,9606,Homo sapiens
cell_surface_NCBI,10058,ABCB6,9606,Homo sapiens
cell_surface_NCBI,4363,ABCC1,9606,Homo sapiens
cell_surface_NCBI,1244,ABCC2,9606,Homo sapiens
cell_surface_NCBI,10257,ABCC4,9606,Homo sapiens
cell_surface_NCBI,9619,ABCG1,9606,Homo sapiens
cell_surface_NCBI,9429,ABCG2,9606,Homo sapiens
cell_surface_NCBI,1636,ACE,9606,Homo sapiens
cell_surface_NCBI,59272,ACE2,9606,Homo sapiens
cell_surface_NCBI,43,ACHE,9606,Homo sapiens
cell_surface_NCBI,1238,ACKR2,9606,Homo sapiens
cell_surface_NCBI,57007,ACKR3,9606,Homo sapiens
cell_surface_NCBI,52,ACP1,9606,Homo sapiens
cell_surface_NCBI,56,ACRV1,9606,Homo sapiens
cell_surface_NCBI,2180,ACSL1,9606,Homo sapiens
cell_surface_NCBI,87,ACTN1,9606,Homo sapiens
cell_surface_NCBI,88,ACTN2,9606,Homo sapiens
cell_surface_NCBI,10097,ACTR2,9606,Homo sapiens
cell_surface_NCBI,10096,ACTR3,9606,Homo sapiens
cell_surface_NCBI,91,ACVR1B,9606,Homo sapiens
cell_surface_NCBI,92,ACVR2A,9606,Homo sapiens
cell_surface_NCBI,94,ACVRL1,9606,Homo sapiens
cell_surface_NCBI,100,ADA,9606,Homo sapiens
cell_surface_NCBI,102,ADAM10,9606,Homo sapiens
cell_surface_NCBI,8038,ADAM12,9606,Homo sapiens
cell_surface_NCBI,8751,ADAM15,9606,Homo sapiens
cell_surface_NCBI,6868,ADAM17,9606,Homo sapiens
cell_surface_NCBI,53616,ADAM22,9606,Homo sapiens
cell_surface_NCBI,101,ADAM8,9606,Homo sapiens
cell_surface_NCBI,8754,ADAM9,9606,Homo sapiens
cell_surface_NCBI,11093,ADAMTS13,9606,Homo sapiens
cell_surface_NCBI,170689,ADAMTS15,9606,Homo sapiens
cell_surface_NCBI,9507,ADAMTS4,9606,Homo sapiens
cell_surface_NCBI,56999,ADAMTS9,9606,Homo sapiens
cell_surface_NCBI,9719,ADAMTSL2,9606,Homo sapiens
cell_surface_NCBI,11033,ADAP1,9606,Homo sapiens
cell_surface_NCBI,104,ADARB1,9606,Homo sapiens
cell_surface_NCBI,117,ADCYAP1R1,9606,Homo sapiens
cell_surface_NCBI,84435,ADGRA1,9606,Homo sapiens
cell_surface_NCBI,25960,ADGRA2,9606,Homo sapiens
cell_surface_NCBI,166647,ADGRA3,9606,Homo sapiens
cell_surface_NCBI,575,ADGRB1,9606,Homo sapiens
cell_surface_NCBI,576,ADGRB2,9606,Homo sapiens
cell_surface_NCBI,577,ADGRB3,9606,Homo sapiens
