trait_id,GeneID,Symbol,tax_id,Org_name,Bioentity
cell_surface_UniProtKB,,NRCAM,9606,Homo sapiens,UniProtKB:Q92823
cell_surface_UniProtKB,,GPA33,9606,Homo sapiens,UniProtKB:Q99795
cell_surface_UniProtKB,,MCAM,9606,Homo sapiens,UniProtKB:P43121
cell_surface_UniProtKB,,BLNK,9606,Homo sapiens,UniProtKB:Q8WV28
cell_surface_UniProtKB,,CEMIP2,9606,Homo sapiens,UniProtKB:Q9UHN6
cell_surface_UniProtKB,,CD7,9606,Homo sapiens,UniProtKB:P09564
cell_surface_UniProtKB,,CD22,9606,Homo sapiens,UniProtKB:P20273
cell_surface_UniProtKB,,HCST,9606,Homo sapiens,UniProtKB:Q9UBK5
cell_surface_UniProtKB,,CADM4,9606,Homo sapiens,UniProtKB:Q8NFZ8
cell_surface_UniProtKB,,BCAM,9606,Homo sapiens,UniProtKB:P50895
cell_surface_UniProtKB,,CD96,9606,Homo sapiens,UniProtKB:P40200
cell_surface_UniProtKB,,ESM1,9606,Homo sapiens,UniProtKB:Q9NQ30
cell_surface_UniProtKB,,CD6,9606,Homo sapiens,UniProtKB:P30203
cell_surface_UniProtKB,,CD1A,9606,Homo sapiens,UniProtKB:P06126
cell_surface_UniProtKB,,PDCD10,9606,Homo sapiens,UniProtKB:Q9BUL8
cell_surface_UniProtKB,,BCL6,9606,Homo sapiens,UniProtKB:P41182
cell_surface_UniProtKB,,MNDA,9606,Homo sapiens,UniProtKB:P41218
cell_surface_UniProtKB,,CLNK,9606,Homo sapiens,UniProtKB:Q7Z7G1
cell_surface_UniProtKB,,PECAM1,9606,Homo sapiens,UniProtKB:P16284
cell_surface_UniProtKB,,PDCD4,9606,Homo sapiens,UniProtKB:Q53EL6
cell_surface_UniProtKB,,CD2,9606,Homo sapiens,UniProtKB:P06729
cell_surface_UniProtKB,,AAMP,9606,Homo sapiens,UniProtKB:Q13685
cell_surface_UniProtKB,,CD4,9606,Homo sapiens,UniProtKB:P01730
cell_surface_UniProtKB,,CD34,9606,Homo sapiens,UniProtKB:P28906
cell_surface_UniProtKB,,PDCD1,9606,Homo sapiens,UniProtKB:Q15116
cell_surface_UniProtKB,,CXCL12,9606,Homo sapiens,UniProtKB:P48061
cell_surface_UniProtKB,,NCAM1,9606,Homo sapiens,UniProtKB:P13591
cell_surface_UniProtKB,,CD244,9606,Homo sapiens,UniProtKB:Q9BZW8
cell_surface_UniProtKB,,CD1C,9606,Homo sapiens,UniProtKB:P29017
cell_surface_UniProtKB,,CD1B,9606,Homo sapiens,UniProtKB:P29016
cell_surface_UniProtKB,,DCSTAMP,9606,Homo sapiens,UniProtKB:Q9H295
cell_surface_UniProtKB,,CIDEA,9606,Homo sapiens,UniProtKB:O60543
cell_surface_UniProtKB,,VCAM1,9606,Homo sapiens,UniProtKB:P19320
cell_surface_UniProtKB,,BCL10,9606,Homo sapiens,UniProtKB:O95999
cell_surface_UniProtKB,,CNMD,9606,Homo sapiens,UniProtKB:O75829
cell_surface_UniProtKB,,BCL3,9606,Homo sapiens,UniProtKB:P20749
cell_surface_UniProtKB,,DSCAM,9606,Homo sapiens,UniProtKB:O60469
cell_surface_UniProtKB,,TRDC,9606,Homo sapiens,UniProtKB:B7Z8K6
cell_surface_UniProtKB,,CD33,9606,Homo sapiens,UniProtKB:P20138
cell_surface_UniProtKB,,L1CAM,9606,Homo sapiens,UniProtKB:P32004
cell_surface_UniProtKB,,PDCD6,9606,Homo sapiens,UniProtKB:O75340
cell_surface_UniProtKB,,CD5,9606,Homo sapiens,UniProtKB:P06127
cell_surface_UniProtKB,,CCR9,9606,Homo sapiens,UniProtKB:P51686
cell_surface_UniProtKB,,ACKR3,9606,Homo sapiens,UniProtKB:P25106
cell_surface_UniProtKB,,CXCR4,9606,Homo sapiens,UniProtKB:P61073
cell_surface_UniProtKB,,ACKR2,9606,Homo sapiens,UniProtKB:O00590
cell_surface_UniProtKB,,CXCR6,9606,Homo sapiens,UniProtKB:O00574
cell_surface_UniProtKB,,CCR2,9606,Homo sapiens,UniProtKB:P41597
cell_surface_UniProtKB,,CCRL2,9606,Homo sapiens,UniProtKB:O00421
cell_surface_UniProtKB,,CCR8,9606,Homo sapiens,UniProtKB:P51685
cell_surface_UniProtKB,,CCR6,9606,Homo sapiens,UniProtKB:P51684
cell_surface_UniProtKB,,CCR5,9606,Homo sapiens,UniProtKB:P51681
cell_surface_UniProtKB,,CCR4,9606,Homo sapiens,UniProtKB:P51679
cell_surface_UniProtKB,,CCR3,9606,Homo sapiens,UniProtKB:P51677
cell_surface_UniProtKB,,XCR1,9606,Homo sapiens,UniProtKB:P46094
cell_surface_UniProtKB,,CCR10,9606,Homo sapiens,UniProtKB:P46092
cell_surface_UniProtKB,,CXCR2,9606,Homo sapiens,UniProtKB:P25025
cell_surface_UniProtKB,,CXCR1,9606,Homo sapiens,UniProtKB:P25024
cell_surface_UniProtKB,,ACKR4,9606,Homo sapiens,UniProtKB:Q9NPB9
cell_surface_UniProtKB,,CXCR5,9606,Homo sapiens,UniProtKB:P32302
cell_surface_UniProtKB,,CX3CR1,9606,Homo sapiens,UniProtKB:P49238
cell_surface_UniProtKB,,CXCR3,9606,Homo sapiens,UniProtKB:P49682
cell_surface_UniProtKB,,CCR7,9606,Homo sapiens,UniProtKB:P32248
cell_surface_UniProtKB,,CCR1,9606,Homo sapiens,UniProtKB:P32246
cell_surface_UniProtKB,,CEACAM6,9606,Homo sapiens,UniProtKB:P40199
cell_surface_UniProtKB,,TRBV15,9606,Homo sapiens,UniProtKB:A0A087WZ39
cell_surface_UniProtKB,,TRGC2,9606,Homo sapiens,UniProtKB:P03986
cell_surface_UniProtKB,,TRGV3,9606,Homo sapiens,UniProtKB:P03979
