trait_id,GeneID,Symbol,tax_id,Org_name
cytokine_NCBI,2,A2M,9606,Homo sapiens
cytokine_NCBI,15,AANAT,9606,Homo sapiens
cytokine_NCBI,19,ABCA1,9606,Homo sapiens
cytokine_NCBI,5243,ABCB1,9606,Homo sapiens
cytokine_NCBI,340273,ABCB5,9606,Homo sapiens
cytokine_NCBI,215,ABCD1,9606,Homo sapiens
cytokine_NCBI,225,ABCD2,9606,Homo sapiens
cytokine_NCBI,9429,ABCG2,9606,Homo sapiens
cytokine_NCBI,32,ACACB,9606,Homo sapiens
cytokine_NCBI,1636,ACE,9606,Homo sapiens
cytokine_NCBI,59272,ACE2,9606,Homo sapiens
cytokine_NCBI,48,ACO1,9606,Homo sapiens
cytokine_NCBI,2180,ACSL1,9606,Homo sapiens
cytokine_NCBI,81,ACTN4,9606,Homo sapiens
cytokine_NCBI,91,ACVR1B,9606,Homo sapiens
cytokine_NCBI,100,ADA,9606,Homo sapiens
cytokine_NCBI,102,ADAM10,9606,Homo sapiens
cytokine_NCBI,6868,ADAM17,9606,Homo sapiens
cytokine_NCBI,9507,ADAMTS4,9606,Homo sapiens
cytokine_NCBI,11096,ADAMTS5,9606,Homo sapiens
cytokine_NCBI,11174,ADAMTS6,9606,Homo sapiens
cytokine_NCBI,113,ADCY7,9606,Homo sapiens
cytokine_NCBI,976,ADGRE5,9606,Homo sapiens
cytokine_NCBI,9370,ADIPOQ,9606,Homo sapiens
cytokine_NCBI,133,ADM,9606,Homo sapiens
cytokine_NCBI,84890,ADO,9606,Homo sapiens
cytokine_NCBI,135,ADORA2A,9606,Homo sapiens
cytokine_NCBI,136,ADORA2B,9606,Homo sapiens
cytokine_NCBI,140,ADORA3,9606,Homo sapiens
cytokine_NCBI,150,ADRA2A,9606,Homo sapiens
cytokine_NCBI,340351,AGBL3,9606,Homo sapiens
cytokine_NCBI,177,AGER,9606,Homo sapiens
cytokine_NCBI,27161,AGO2,9606,Homo sapiens
cytokine_NCBI,10554,AGPAT1,9606,Homo sapiens
cytokine_NCBI,10555,AGPAT2,9606,Homo sapiens
cytokine_NCBI,183,AGT,9606,Homo sapiens
cytokine_NCBI,196,AHR,9606,Homo sapiens
cytokine_NCBI,57379,AICDA,9606,Homo sapiens
cytokine_NCBI,9447,AIM2,9606,Homo sapiens
cytokine_NCBI,9255,AIMP1,9606,Homo sapiens
cytokine_NCBI,170547,AIMP1P1,9606,Homo sapiens
cytokine_NCBI,9472,AKAP6,9606,Homo sapiens
cytokine_NCBI,1645,AKR1C1,9606,Homo sapiens
cytokine_NCBI,207,AKT1,9606,Homo sapiens
cytokine_NCBI,84335,AKT1S1,9606,Homo sapiens
cytokine_NCBI,8854,ALDH1A2,9606,Homo sapiens
cytokine_NCBI,217,ALDH2,9606,Homo sapiens
cytokine_NCBI,238,ALK,9606,Homo sapiens
cytokine_NCBI,239,ALOX12,9606,Homo sapiens
cytokine_NCBI,246,ALOX15,9606,Homo sapiens
cytokine_NCBI,240,ALOX5,9606,Homo sapiens
cytokine_NCBI,284,ANGPT1,9606,Homo sapiens
cytokine_NCBI,285,ANGPT2,9606,Homo sapiens
cytokine_NCBI,23452,ANGPTL2,9606,Homo sapiens
cytokine_NCBI,51129,ANGPTL4,9606,Homo sapiens
cytokine_NCBI,27063,ANKRD1,9606,Homo sapiens
cytokine_NCBI,301,ANXA1,9606,Homo sapiens
cytokine_NCBI,302,ANXA2,9606,Homo sapiens
cytokine_NCBI,325,APCS,9606,Homo sapiens
cytokine_NCBI,335,APOA1,9606,Homo sapiens
cytokine_NCBI,336,APOA2,9606,Homo sapiens
cytokine_NCBI,337,APOA4,9606,Homo sapiens
cytokine_NCBI,60489,APOBEC3G,9606,Homo sapiens
cytokine_NCBI,341,APOC1,9606,Homo sapiens
cytokine_NCBI,347,APOD,9606,Homo sapiens
cytokine_NCBI,348,APOE,9606,Homo sapiens
cytokine_NCBI,8542,APOL1,9606,Homo sapiens
cytokine_NCBI,351,APP,9606,Homo sapiens
cytokine_NCBI,26060,APPL1,9606,Homo sapiens
cytokine_NCBI,55198,APPL2,9606,Homo sapiens
cytokine_NCBI,367,AR,9606,Homo sapiens
cytokine_NCBI,374,AREG,9606,Homo sapiens
cytokine_NCBI,383,ARG1,9606,Homo sapiens
cytokine_NCBI,79658,ARHGAP10,9606,Homo sapiens
cytokine_NCBI,9138,ARHGEF1,9606,Homo sapiens
cytokine_NCBI,427,ASAH1,9606,Homo sapiens
cytokine_NCBI,56624,ASAH2,9606,Homo sapiens
cytokine_NCBI,8853,ASAP2,9606,Homo sapiens
cytokine_NCBI,51665,ASB1,9606,Homo sapiens
cytokine_NCBI,136371,ASB10,9606,Homo sapiens
cytokine_NCBI,140456,ASB11,9606,Homo sapiens
cytokine_NCBI,142689,ASB12,9606,Homo sapiens
cytokine_NCBI,79754,ASB13,9606,Homo sapiens
cytokine_NCBI,142686,ASB14,9606,Homo sapiens
cytokine_NCBI,142685,ASB15,9606,Homo sapiens
cytokine_NCBI,92591,ASB16,9606,Homo sapiens
cytokine_NCBI,127247,ASB17,9606,Homo sapiens
cytokine_NCBI,401036,ASB18,9606,Homo sapiens
cytokine_NCBI,51676,ASB2,9606,Homo sapiens
cytokine_NCBI,51130,ASB3,9606,Homo sapiens
cytokine_NCBI,51666,ASB4,9606,Homo sapiens
cytokine_NCBI,140458,ASB5,9606,Homo sapiens
cytokine_NCBI,140459,ASB6,9606,Homo sapiens
cytokine_NCBI,140460,ASB7,9606,Homo sapiens
cytokine_NCBI,140461,ASB8,9606,Homo sapiens
cytokine_NCBI,140462,ASB9,9606,Homo sapiens
cytokine_NCBI,1386,ATF2,9606,Homo sapiens
cytokine_NCBI,467,ATF3,9606,Homo sapiens
cytokine_NCBI,468,ATF4,9606,Homo sapiens
cytokine_NCBI,55054,ATG16L1,9606,Homo sapiens
cytokine_NCBI,9474,ATG5,9606,Homo sapiens
cytokine_NCBI,57194,ATP10A,9606,Homo sapiens
cytokine_NCBI,476,ATP1A1,9606,Homo sapiens
cytokine_NCBI,490,ATP2B1,9606,Homo sapiens
cytokine_NCBI,319119,ATP5MC2P2,9606,Homo sapiens
cytokine_NCBI,100287091,ATP5MGP5,9606,Homo sapiens
cytokine_NCBI,23545,ATP6V0A2,9606,Homo sapiens
cytokine_NCBI,10396,ATP8A1,9606,Homo sapiens
cytokine_NCBI,26053,AUTS2,9606,Homo sapiens
cytokine_NCBI,558,AXL,9606,Homo sapiens
cytokine_NCBI,567,B2M,9606,Homo sapiens
cytokine_NCBI,27087,B3GAT1,9606,Homo sapiens
cytokine_NCBI,23621,BACE1,9606,Homo sapiens
cytokine_NCBI,60468,BACH2,9606,Homo sapiens
cytokine_NCBI,572,BAD,9606,Homo sapiens
cytokine_NCBI,573,BAG1,9606,Homo sapiens
cytokine_NCBI,578,BAK1,9606,Homo sapiens
cytokine_NCBI,8314,BAP1,9606,Homo sapiens
cytokine_NCBI,10538,BATF,9606,Homo sapiens
cytokine_NCBI,27113,BBC3,9606,Homo sapiens
cytokine_NCBI,54828,BCAS3,9606,Homo sapiens
cytokine_NCBI,8915,BCL10,9606,Homo sapiens
cytokine_NCBI,596,BCL2,9606,Homo sapiens
cytokine_NCBI,597,BCL2A1,9606,Homo sapiens
cytokine_NCBI,598,BCL2L1,9606,Homo sapiens
cytokine_NCBI,10018,BCL2L11,9606,Homo sapiens
cytokine_NCBI,83596,BCL2L12,9606,Homo sapiens
cytokine_NCBI,602,BCL3,9606,Homo sapiens
cytokine_NCBI,604,BCL6,9606,Homo sapiens
cytokine_NCBI,255877,BCL6B,9606,Homo sapiens
cytokine_NCBI,83875,BCO2,9606,Homo sapiens
cytokine_NCBI,624,BDKRB2,9606,Homo sapiens
cytokine_NCBI,627,BDNF,9606,Homo sapiens
cytokine_NCBI,79365,BHLHE41,9606,Homo sapiens
cytokine_NCBI,330,BIRC3,9606,Homo sapiens
cytokine_NCBI,332,BIRC5,9606,Homo sapiens
cytokine_NCBI,640,BLK,9606,Homo sapiens
cytokine_NCBI,649,BMP1,9606,Homo sapiens
cytokine_NCBI,27302,BMP10,9606,Homo sapiens
