trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,7157,TP53,Homo sapiens,9606
transcription_factor_NCBI,3091,HIF1A,Homo sapiens,9606
transcription_factor_NCBI,7040,TGFB1,Homo sapiens,9606
transcription_factor_NCBI,7124,TNF,Homo sapiens,9606
transcription_factor_NCBI,4790,NFKB1,Homo sapiens,9606
transcription_factor_NCBI,1493,CTLA4,Homo sapiens,9606
transcription_factor_NCBI,4609,MYC,Homo sapiens,9606
transcription_factor_NCBI,3569,IL6,Homo sapiens,9606
transcription_factor_NCBI,6774,STAT3,Homo sapiens,9606
transcription_factor_NCBI,7422,VEGFA,Homo sapiens,9606
transcription_factor_NCBI,1956,EGFR,Homo sapiens,9606
transcription_factor_NCBI,2099,ESR1,Homo sapiens,9606
transcription_factor_NCBI,367,AR,Homo sapiens,9606
transcription_factor_NCBI,4233,MET,Homo sapiens,9606
transcription_factor_NCBI,207,AKT1,Homo sapiens,9606
transcription_factor_NCBI,5970,RELA,Homo sapiens,9606
transcription_factor_NCBI,2064,ERBB2,Homo sapiens,9606
transcription_factor_NCBI,3576,CXCL8,Homo sapiens,9606
transcription_factor_NCBI,3586,IL10,Homo sapiens,9606
transcription_factor_NCBI,7015,TERT,Homo sapiens,9606
transcription_factor_NCBI,26191,PTPN22,Homo sapiens,9606
transcription_factor_NCBI,4780,NFE2L2,Homo sapiens,9606
transcription_factor_NCBI,3458,IFNG,Homo sapiens,9606
transcription_factor_NCBI,672,BRCA1,Homo sapiens,9606
transcription_factor_NCBI,4318,MMP9,Homo sapiens,9606
transcription_factor_NCBI,5743,PTGS2,Homo sapiens,9606
transcription_factor_NCBI,1499,CTNNB1,Homo sapiens,9606
transcription_factor_NCBI,7099,TLR4,Homo sapiens,9606
transcription_factor_NCBI,7421,VDR,Homo sapiens,9606
transcription_factor_NCBI,1869,E2F1,Homo sapiens,9606
transcription_factor_NCBI,5468,PPARG,Homo sapiens,9606
transcription_factor_NCBI,673,BRAF,Homo sapiens,9606
transcription_factor_NCBI,351,APP,Homo sapiens,9606
transcription_factor_NCBI,6667,SP1,Homo sapiens,9606
transcription_factor_NCBI,5460,POU5F1,Homo sapiens,9606
transcription_factor_NCBI,1080,CFTR,Homo sapiens,9606
transcription_factor_NCBI,3553,IL1B,Homo sapiens,9606
transcription_factor_NCBI,1029,CDKN2A,Homo sapiens,9606
transcription_factor_NCBI,3725,JUN,Homo sapiens,9606
transcription_factor_NCBI,5728,PTEN,Homo sapiens,9606
transcription_factor_NCBI,5243,ABCB1,Homo sapiens,9606
transcription_factor_NCBI,1401,CRP,Homo sapiens,9606
transcription_factor_NCBI,627,BDNF,Homo sapiens,9606
transcription_factor_NCBI,1432,MAPK14,Homo sapiens,9606
transcription_factor_NCBI,2475,MTOR,Homo sapiens,9606
transcription_factor_NCBI,50943,FOXP3,Homo sapiens,9606
transcription_factor_NCBI,2033,EP300,Homo sapiens,9606
transcription_factor_NCBI,3717,JAK2,Homo sapiens,9606
transcription_factor_NCBI,3565,IL4,Homo sapiens,9606
transcription_factor_NCBI,7852,CXCR4,Homo sapiens,9606
transcription_factor_NCBI,2908,NR3C1,Homo sapiens,9606
transcription_factor_NCBI,999,CDH1,Homo sapiens,9606
transcription_factor_NCBI,3479,IGF1,Homo sapiens,9606
transcription_factor_NCBI,6772,STAT1,Homo sapiens,9606
transcription_factor_NCBI,596,BCL2,Homo sapiens,9606
transcription_factor_NCBI,4313,MMP2,Homo sapiens,9606
transcription_factor_NCBI,2309,FOXO3,Homo sapiens,9606
transcription_factor_NCBI,3952,LEP,Homo sapiens,9606
transcription_factor_NCBI,2308,FOXO1,Homo sapiens,9606
transcription_factor_NCBI,861,RUNX1,Homo sapiens,9606
transcription_factor_NCBI,675,BRCA2,Homo sapiens,9606
transcription_factor_NCBI,6657,SOX2,Homo sapiens,9606
transcription_factor_NCBI,3757,KCNH2,Homo sapiens,9606
transcription_factor_NCBI,5054,SERPINE1,Homo sapiens,9606
transcription_factor_NCBI,1234,CCR5,Homo sapiens,9606
transcription_factor_NCBI,6347,CCL2,Homo sapiens,9606
