ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID
1007_s_at	discoidin domain receptor tyrosine kinase 1 /// microRNA 4640	DDR1 /// MIR4640	780 /// 100616237
1053_at	replication factor C (activator 1) 2; 40kDa	RFC2	5982
117_at	heat shock 70kDa protein 6 (HSP70B')	HSPA6	3310
121_at	paired box 8	PAX8	7849
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A	2978
1294_at	microRNA 5193 /// ubiquitin-like modifier activating enzyme 7	MIR5193 /// UBA7	7318 /// 100847079
1316_at	thyroid hormone receptor; alpha	THRA	7067
1320_at	protein tyrosine phosphatase; non-receptor type 21	PTPN21	11099
1405_i_at	chemokine (C-C motif) ligand 5	CCL5	6352
1431_at	cytochrome P450; family 2; subfamily E; polypeptide 1	CYP2E1	1571
1438_at	EPH receptor B3	EPHB3	2049
1487_at	estrogen-related receptor alpha	ESRRA	2101
1494_f_at	cytochrome P450; family 2; subfamily A; polypeptide 6	CYP2A6	1548
1552256_a_at	scavenger receptor class B; member 1	SCARB1	949
1552257_a_at	tubulin tyrosine ligase-like family; member 12	TTLL12	23170
1552258_at	long intergenic non-protein coding RNA 152 /// uncharacterized LOC101930489	LINC00152 /// LOC101930489	112597 /// 101930489
1552261_at	WAP four-disulfide core domain 2	WFDC2	10406
1552263_at	mitogen-activated protein kinase 1	MAPK1	5594
1552264_a_at	mitogen-activated protein kinase 1	MAPK1	5594
1552266_at	ADAM metallopeptidase domain 32	ADAM32	203102
1552269_at	spermatogenesis associated 17	SPATA17	128153
1552271_at	proline rich 22	PRR22	163154
1552272_a_at	proline rich 22	PRR22	163154
1552274_at	PX domain containing serine/threonine kinase	PXK	54899
1552275_s_at	PX domain containing serine/threonine kinase	PXK	54899
1552276_a_at	vacuolar protein sorting 18 homolog (S. cerevisiae)	VPS18	57617
1552277_a_at	Myb/SANT-like DNA-binding domain containing 3	MSANTD3	91283
1552278_a_at	solute carrier family 46 (folate transporter); member 1	SLC46A1	113235
1552279_a_at	solute carrier family 46 (folate transporter); member 1	SLC46A1	113235
1552280_at	T-cell immunoglobulin and mucin domain containing 4	TIMD4	91937
1552281_at	solute carrier family 39 (zinc transporter); member 5	SLC39A5	283375
1552283_s_at	zinc finger; DHHC-type containing 11 /// zinc finger; DHHC-type containing 11B	ZDHHC11 /// ZDHHC11B	79844 /// 653082
1552286_at	ATPase; H+ transporting; lysosomal 31kDa; V1 subunit E2	ATP6V1E2	90423
1552287_s_at	AFG3-like AAA ATPase 1; pseudogene	AFG3L1P	172
1552288_at	cartilage intermediate layer protein 2	CILP2	148113
1552289_a_at	cartilage intermediate layer protein 2	CILP2	148113
1552291_at	phosphatidylinositol glycan anchor biosynthesis; class X	PIGX	54965
1552293_at	transmembrane protein 196	TMEM196	256130
1552295_a_at	solute carrier family 39 (zinc transporter); member 13	SLC39A13	91252
1552296_at	bestrophin 4	BEST4	266675
1552299_at	adenylate kinase 9	AK9	221264
1552301_a_at	coronin 6	CORO6	84940
1552302_at	transmembrane protein 106A	TMEM106A	113277
1552303_a_at	transmembrane protein 106A	TMEM106A	113277
1552304_at	ALG10; alpha-1;2-glucosyltransferase	ALG10	84920
1552306_at	ALG10; alpha-1;2-glucosyltransferase	ALG10	84920
1552307_a_at	tetratricopeptide repeat domain 39C	TTC39C	125488
1552309_a_at	nexilin (F actin binding protein)	NEXN	91624
1552310_at	chromosome 15 open reading frame 40	C15orf40	123207
1552311_a_at	retina and anterior neural fold homeobox 2	RAX2	84839
1552312_a_at	microfibrillar-associated protein 3	MFAP3	4238
1552314_a_at	EYA transcriptional coactivator and phosphatase 3	EYA3	2140
1552315_at	GTPase; IMAP family member 1	GIMAP1	170575
1552316_a_at	GTPase; IMAP family member 1	GIMAP1	170575
1552318_at	GTPase; IMAP family member 1	GIMAP1	170575
1552319_a_at	kallikrein-related peptidase 8	KLK8	11202
1552320_a_at	coiled-coil domain containing 65	CCDC65	85478
1552321_a_at	coiled-coil domain containing 65	CCDC65	85478
1552322_at	family with sequence similarity 122C	FAM122C	159091
1552323_s_at	family with sequence similarity 122C	FAM122C	159091
1552325_at	coiled-coil domain containing 11	CCDC11	220136
1552326_a_at	coiled-coil domain containing 11	CCDC11	220136
1552327_at	armadillo repeat containing; X-linked 4	ARMCX4	100131755
1552329_at	retinoblastoma binding protein 6	RBBP6	5930
1552330_at	CENPB DNA-binding domains containing 1	CENPBD1	92806
1552332_at	TRIO and F-actin binding protein	TRIOBP	11078
1552334_at	TRIO and F-actin binding protein	TRIOBP	11078
1552335_at	cation channel; sperm associated 1	CATSPER1	117144
1552337_s_at	homeobox D4	HOXD4	3233
1552338_at	goosecoid homeobox	GSC	145258
1552340_at	Sp7 transcription factor	SP7	121340
1552343_s_at	phosphodiesterase 7A	PDE7A	5150
1552344_s_at	CCR4-NOT transcription complex; subunit 7	CNOT7	29883
1552347_at	crystallin; zeta (quinone reductase)-like 1	CRYZL1	9946
1552348_at	protease; serine; 33	PRSS33	260429
1552349_a_at	protease; serine; 33	PRSS33	260429
1552354_at	chromosome 19 open reading frame 26	C19orf26	255057
1552355_s_at	chromosome 19 open reading frame 26	C19orf26	255057
1552359_at	minichromosome maintenance domain containing 2	MCMDC2	157777
1552360_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP	114609
1552362_a_at	liver expressed antimicrobial peptide 2	LEAP2	116842
1552364_s_at	musashi RNA-binding protein 2	MSI2	124540
1552365_at	scinderin	SCIN	85477
1552367_a_at	scinderin	SCIN	85477
1552368_at	CCCTC-binding factor (zinc finger protein)-like	CTCFL	140690
1552370_at	chromosome 4 open reading frame 33	C4orf33	132321
1552372_at	chromosome 4 open reading frame 33	C4orf33	132321
1552373_s_at	chromosome 4 open reading frame 33	C4orf33	132321
1552375_at	zinc finger protein 333	ZNF333	84449
1552377_s_at	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)	TVP23C	201158
1552378_s_at	retinol dehydrogenase 10 (all-trans)	RDH10	157506
1552379_at	retinol dehydrogenase 10 (all-trans)	RDH10	157506
1552381_at	serine/arginine-rich splicing factor 12	SRSF12	135295
1552383_at	family with sequence similarity 71; member A	FAM71A	149647
1552384_a_at	family with sequence similarity 71; member A	FAM71A	149647
1552386_at	GRB2-binding adaptor protein; transmembrane	GAPT	202309
1552388_at	uncharacterized protein FLJ30901 /// signal peptide; CUB domain; EGF-like 1	FLJ30901 /// SCUBE1	80274 /// 150378
1552389_at	glutamate-rich 5	ERICH5	203111
1552390_a_at	glutamate-rich 5	ERICH5	203111
1552391_at	coiled-coil domain containing 185	CCDC185	164127
1552393_at	ENTH domain containing 1	ENTHD1	150350
1552394_a_at	ENTH domain containing 1	ENTHD1	150350
1552395_at	testis-specific serine kinase 3	TSSK3	81629
1552396_at	WAP four-disulfide core domain 6	WFDC6	140870
1552398_a_at	C-type lectin domain family 12; member A	CLEC12A	160364
1552399_a_at	BRF1; RNA polymerase III transcription initiation factor 90 kDa subunit	BRF1	2972
1552400_a_at	chromosome 15 open reading frame 27	C15orf27	123591
1552401_a_at	BTB and CNC homology 1; basic leucine zipper transcription factor 1 /// GRIK1 antisense RNA 2	BACH1 /// GRIK1-AS2	571 /// 100379661
1552402_at	calmodulin-like 6	CALML6	163688
1552405_at	NLR family; pyrin domain containing 5	NLRP5	126206
1552408_at	outer dense fiber of sperm tails 4	ODF4	146852
1552409_a_at	outer dense fiber of sperm tails 4	ODF4	146852
1552410_at	C-type lectin domain family 4; member F	CLEC4F	165530
1552411_at	defensin; beta 106A /// defensin; beta 106B	DEFB106A /// DEFB106B	245909 /// 503841
1552412_a_at	defensin; beta 106A /// defensin; beta 106B	DEFB106A /// DEFB106B	245909 /// 503841
1552414_at	WAP four-disulfide core domain 9	WFDC9	259240
1552415_a_at	WAP four-disulfide core domain 9	WFDC9	259240
1552417_a_at	neural precursor cell expressed; developmentally down-regulated 1	NEDD1	121441
1552418_at	tubulin tyrosine ligase-like family; member 10	TTLL10	254173
1552419_s_at	tubulin tyrosine ligase-like family; member 10	TTLL10	254173
1552421_a_at	calreticulin 3	CALR3	125972
1552422_at	chromosome 10 open reading frame 25	C10orf25	220979
1552423_at	ets variant 3	ETV3	2117
1552424_at	kelch-like family member 10	KLHL10	317719
1552425_a_at	kelch-like family member 10	KLHL10	317719
1552426_a_at	TM2 domain containing 3	TM2D3	80213
1552427_at	zinc finger protein 485	ZNF485	220992
1552430_at	WD repeat domain 17	WDR17	116966
1552432_at	major facilitator superfamily domain containing 6-like	MFSD6L	162387
1552436_a_at	cadherin-related 23 /// cadherin-23-like	CDH23 /// LOC100653137	64072 /// 100653137
1552438_a_at	ankyrin and armadillo repeat containing	ANKAR	150709
1552439_s_at	multiple EGF-like-domains 11	MEGF11	84465
1552440_at	G protein-coupled receptor 182	GPR182	11318
1552445_a_at	ESX homeobox 1	ESX1	80712
1552448_a_at	chromosome 8 open reading frame 12	C8orf12	83656
1552449_a_at	secretoglobin; family 1C; member 1-like /// secretoglobin; family 1C; member 1	LOC653486 /// SCGB1C1	147199 /// 653486
1552450_a_at	DnaJ (Hsp40) homolog; subfamily C; member 5 gamma	DNAJC5G	285126
1552452_at	WD repeat domain 88	WDR88	126248
1552453_a_at	WD repeat domain 88	WDR88	126248
1552455_at	prune homolog 2 (Drosophila)	PRUNE2	158471
1552456_a_at	methyl-CpG binding domain protein 3-like 2	MBD3L2	125997
1552457_a_at	ADAMTS-like 1	ADAMTSL1	92949
1552458_at	methyl-CpG binding domain protein 3-like 1	MBD3L1	85509
1552459_a_at	methyl-CpG binding domain protein 3-like 1	MBD3L1	85509
1552461_at	family with sequence similarity 46; member D	FAM46D	169966
1552463_at	serpin peptidase inhibitor; clade B (ovalbumin); member 11 (gene/pseudogene)	SERPINB11	89778
1552466_x_at	long intergenic non-protein coding RNA 161	LINC00161	118421
1552467_at	Down syndrome critical region gene 10 (non-protein coding)	DSCR10	259234
1552468_a_at	Down syndrome critical region gene 10 (non-protein coding)	DSCR10	259234
1552470_a_at	abhydrolase domain containing 11	ABHD11	83451
1552472_a_at	ArfGAP with coiled-coil; ankyrin repeat and PH domains 2	ACAP2	23527
1552473_at	guanidinoacetate N-methyltransferase	GAMT	2593
1552474_a_at	guanidinoacetate N-methyltransferase	GAMT	2593
1552476_s_at	phospholipase C; delta 3	PLCD3	113026
1552477_a_at	interferon regulatory factor 6	IRF6	3664
1552478_a_at	interferon regulatory factor 6	IRF6	3664
1552480_s_at	protein tyrosine phosphatase; receptor type; C	PTPRC	5788
1552481_s_at	mannosidase; alpha; class 1A; member 2	MAN1A2	10905
1552482_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	65059
1552484_at	Smith-Magenis syndrome chromosome region; candidate 8	SMCR8	140775
1552485_at	lactamase; beta	LACTB	114294
1552486_s_at	lactamase; beta	LACTB	114294
1552487_a_at	basonuclin 1	BNC1	646
1552489_s_at	membrane protein; palmitoylated 4 (MAGUK p55 subfamily member 4)	MPP4	58538
1552490_at	lactation elevated 1	LACE1	246269
1552491_at	isopentenyl-diphosphate delta isomerase 2	IDI2	91734
1552493_s_at	cytochrome P450; family 11; subfamily B; polypeptide 1	CYP11B1	1584
1552494_at	TAF8 RNA polymerase II; TATA box binding protein (TBP)-associated factor; 43kDa	TAF8	129685
1552496_a_at	cordon-bleu WH2 repeat protein	COBL	23242
1552497_a_at	SLAM family member 6	SLAMF6	114836
1552498_at	zinc finger and SCAN domain containing 20	ZSCAN20	7579
1552499_a_at	zinc finger and SCAN domain containing 20	ZSCAN20	7579
1552501_a_at	G protein-coupled bile acid receptor 1	GPBAR1	151306
1552502_s_at	rhomboid; veinlet-like 2 (Drosophila)	RHBDL2	54933
1552503_at	Fraser extracellular matrix complex subunit 1	FRAS1	80144
1552504_a_at	BR serine/threonine kinase 1	BRSK1	84446
1552506_at	crumbs family member 2	CRB2	286204
