GeneID,Symbol,link,description,chromosome
102117143,LOC102117143,,HLA class I histocompatibility antigen; A-25 alpha chain-like,4
101925978,APOA1,,apolipoprotein A1,14
102143451,ESR2,,estrogen receptor 2,7
102121570,DAZL,,deleted in azoospermia like,2
102140040,PTGES2,,prostaglandin E synthase 2,15
101926697,HBB,,hemoglobin; beta,14
102144258,CYP3A4,,cytochrome P450 family 3 subfamily A member 4,3
102125623,LOC102125623,,patr class I histocompatibility antigen; A-126 alpha chain,4
102116897,LOC102116897,,HLA class I histocompatibility antigen; B-7 alpha chain,Un
102119749,IL1B,,interleukin 1 beta,13
102140036,GBA2,,glucosylceramidase beta 2,15
102141582,LOC102141582,,HLA class II histocompatibility antigen; DRB1-1 beta chain-like,4
102135840,TRIM5,,tripartite motif containing 5,14
102147103,CYP2C19,,cytochrome P450 family 2 subfamily C member 19,9
102125672,ADAM2,,ADAM metallopeptidase domain 2,8
102132408,LOC102132408,,HLA class I histocompatibility antigen; B-14 alpha chain-like,Un
102116839,SST,,somatostatin,2
101926433,APP,,amyloid beta precursor protein,3
102140495,PTGES3,,prostaglandin E synthase 3,11
102140241,VEGFA,,vascular endothelial growth factor A,4
102133349,SLC6A4,,solute carrier family 6 member 4,16
102124124,GRP,,gastrin releasing peptide,18
102117720,AR,,androgen receptor,X
102139631,TNF,,tumor necrosis factor,4
102138883,Mafa-B,,saoe class I histocompatibility antigen; A alpha chain-like,4
102119646,APOA2,,apolipoprotein A2,1
102132289,LOC102132289,,HLA class I histocompatibility antigen; B-15 alpha chain-like,4
102144085,APOC3,,apolipoprotein C3,14
102138599,KLK3,,kallikrein related peptidase 3,19
102116264,APOC2,,apolipoprotein C2,Un
102121775,LOC102121775,,class I histocompatibility antigen; Gogo-B*0103 alpha chain-like,Un
102133381,DHDH,,dihydrodiol dehydrogenase,19
102116918,NDUFC2,,NADH:ubiquinone oxidoreductase subunit C2,14
102123829,FMO1,,flavin containing dimethylaniline monoxygenase 1,1
101865559,ADAM5,,Disintegrin and metalloproteinase domain-containing protein 5,8
102139853,ACTB,,actin beta,3
102133696,SNRPN,,small nuclear ribonucleoprotein polypeptide N,7
102133043,UCHL1,,ubiquitin C-terminal hydrolase L1,5
101926217,CCK,,cholecystokinin,2
102122138,MAFA-F,,mamu class I histocompatibility antigen; alpha chain F,4
101866575,TSPYL2,,TSPY like 2,X
102131116,AOX1,,aldehyde oxidase 1,12
102127229,PRNP,,prion protein,10
102121286,SOAT1,,sterol O-acyltransferase 1,1
101867079,HPRT1,,hypoxanthine phosphoribosyltransferase 1,X
101865784,NPC2,,NPC intracellular cholesterol transporter 2,7
101865673,OAZ2,,ornithine decarboxylase antizyme 2,7
101865570,CETP,,cholesteryl ester transfer protein,20
101865397,SLC11A2,,solute carrier family 11 member 2,11
101865183,SPA17,,sperm autoantigenic protein 17,14
102128913,FCGRT,,Fc fragment of IgG receptor and transporter,19
102127901,UGT2B9,,UDP-glucuronosyltransferase 2B9-like,5
102127901,UGT2B9,,UDP-glucuronosyltransferase 2B9-like,5
102120934,SPAG9,,sperm associated antigen 9,16
101925209,EDNRB,,endothelin receptor type B,17
101867063,VCAN,,versican,6
102145540,MFSD8,,major facilitator superfamily domain containing 8,5
102135998,TP53,,tumor protein p53,16
102128291,IFNG,,interferon gamma,11
102127961,TNFRSF9,,TNF receptor superfamily member 9,1
102126394,CD38,,CD38 molecule,5
102120453,PPARG,,peroxisome proliferator activated receptor gamma,2
102144039,LOC102144039,,mamu class II histocompatibility antigen; DR alpha chain-like,4
101925101,GSTM5,,glutathione S-transferase mu 5,1
102138376,CGA,,glycoprotein hormones; alpha polypeptide,4
102143092,CYP2D6,,cytochrome P450 family 2 subfamily D member 6,10
102140079,CYP2D8,,cytochrome P450 family 2 subfamily D member 8,10
102146759,PTGER1,,prostaglandin E receptor 1,19
102145000,HRH4,,histamine receptor H4,18
102144354,CD52,,CD52 molecule,1
102142756,SLC6A3,,solute carrier family 6 member 3,6
102142346,TAP1,,transporter 1; ATP binding cassette subfamily B member,4
102141535,SIRT6,,sirtuin 6,19
102140989,FAS,,Fas cell surface death receptor,9
102139889,PHOX2B,,paired like homeobox 2B,5
102138471,APOE,,apolipoprotein E,19
102138130,ELOVL4,,ELOVL fatty acid elongase 4,4
102137577,CCR1,,C-C motif chemokine receptor 1,2
102135198,FSHR,,follicle stimulating hormone receptor,13
102134620,PGF,,placental growth factor,7
102134446,PRKN,,parkin RBR E3 ubiquitin protein ligase,4
102133648,ABCC1,,ATP binding cassette subfamily C member 1,20
102133184,INS,,insulin,14
102132161,PDK1,,pyruvate dehydrogenase kinase 1,12
102131597,FSTL1,,follistatin like 1,2
102131155,IFI16,,interferon gamma inducible protein 16,1
102130662,CYP1A2,,cytochrome P450 family 1 subfamily A member 2,7
102129830,IL2,,interleukin 2,5
102128612,CMA1,,chymase 1,7
102128580,UGT2B20,,UDP-glucuronosyltransferase 2B20-like,5
102128424,RHO,,rhodopsin,11
102125887,IL13,,interleukin 13,6
102125239,UGT2B23,,UDP-glucuronosyltransferase 2B23-like,5
102125069,CYP2G2,,cytochrome P450 family 2 subfamily G member 2,19
102124427,CYP2B6,,cytochrome P450 family 2 subfamily B member 6,19
102122810,KISS1,,KiSS-1 metastasis suppressor,1
102121341,CYP2A26,,cytochrome P450 family 2 subfamily A member 26,19
102120382,IL37,,interleukin 37,13
102119613,IL15,,interleukin 15,5
102119414,MAPT,,microtubule associated protein tau,16
102119232,FN1,,fibronectin 1,12
102118947,C3AR1,,complement C3a receptor 1,11
102118491,MS4A1,,membrane spanning 4-domains A1,14
102117900,CHIA,,chitinase; acidic,1
102117158,SPINK2,,serine peptidase inhibitor Kazal type 2,5
102115479,NCR1,,natural cytotoxicity triggering receptor 1,19
102115117,POU5F1,,POU class 5 homeobox 1,4
101925524,EPO,,erythropoietin,3
101865897,LPA,,lipoprotein(a),4
102138874,LOC102138874,,popy class I histocompatibility antigen; alpha chain E,4
102115794,CAPN3,,calpain 3,7
101866847,SLC1A2,,solute carrier family 1 member 2,14
102129545,IDH3B,,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,10
101865761,ALDH1A1,,aldehyde dehydrogenase 1 family member A1,15
102119369,SNCA,,synuclein alpha,5
102134149,BCKDHA,,branched chain keto acid dehydrogenase E1 subunit alpha,19
101864954,AZIN1,,antizyme inhibitor 1,8
102135512,CFAP91,,cilia and flagella associated protein 91,2
102128261,APOBEC3G,,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,10
101867396,HORMAD1,,HORMA domain containing 1,1
107126976,UGT1A9,,UDP glucuronosyltransferase 1 family; polypeptide A9,12
102145837,GSTM4,,glutathione S-transferase mu 4,1
102122035,UGT1A1,,UDP glucuronosyltransferase family 1 member A1,12
102114994,CYP2C76,,cytochrome P450 family 2 subfamily C member 76,9
101926824,ABCE1,,ATP binding cassette subfamily E member 1,5
102141139,TAC1,,tachykinin precursor 1,3
102139513,GABRA1,,gamma-aminobutyric acid type A receptor subunit alpha1,6
102117886,CYP19A1,,cytochrome P450 family 19 subfamily A member 1,7
102147207,DEFB1,,defensin beta 1,8
102143926,IL1R2,,interleukin 1 receptor type 2,13
102139990,TLR8,,toll like receptor 8,X
102139628,TLR7,,toll like receptor 7,X
102138222,ZAN,,zonadhesin,3
102121313,BRCA1,,BRCA1 DNA repair associated,16
107126363,PTP4A1,,protein tyrosine phosphatase 4A1,4
102146005,CIRBP,,cold inducible RNA binding protein,19
102132446,NTRK2,,neurotrophic receptor tyrosine kinase 2,15
102127496,PEBP1,,phosphatidylethanolamine binding protein 1,11
102123547,TGOLN2,,trans-golgi network protein 2,13
101926741,SPAM1,,sperm adhesion molecule 1,3
101865536,AKR1C1,,Aldo-keto reductase family 1 member C1 homolog,9
101865050,IDH3A,,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,7
102130841,ZP3,,zona pellucida glycoprotein 3,3
102135172,GRPR,,gastrin releasing peptide receptor,X
102132612,MB,,myoglobin,10
