GeneID,Symbol,link,description,chromosome
105590766,ICAM2,,intercellular adhesion molecule 2,Un
105573603,CCR2,,C-C motif chemokine receptor 2,Un
105597742,IRF2,,interferon regulatory factor 2,Un
105584857,TLR6,,toll like receptor 6,Un
105576968,TLR5,,toll like receptor 5,Un
105600138,ERV3-1,,endogenous retrovirus group 3 member 1; envelope,Un
105579791,HPR,,haptoglobin-related protein,Un
105447769,TRNAS-GCU,,transfer RNA serine (anticodon GCU),Un
105447760,TRNAC-GCA,,transfer RNA cysteine (anticodon GCA),Un
105447750,TRNAQ-CUG,,transfer RNA glutamine (anticodon CUG),Un
105447748,TRNAH-GUG,,transfer RNA histidine(anticodon GUG),Un
105447746,TRNAY-GUA,,transfer RNA tyrosine (anticodon GUA),Un
105447743,TRNAA-UGC,,transfer RNA alanine (anticodon UGC),Un
105447741,TRNAA-AGC,,transfer RNA alanine (anticodon AGC),Un
105447739,TRNAT-UGU,,transfer RNA threonine (anticodon UGU),Un
105447737,TRNAT-AGU,,transfer RNA threonine (anticodon AGU),Un
105447729,TRNAS-AGA,,transfer RNA serine (anticodon AGA),Un
105447728,TRNAV-CAC,,transfer RNA valine (anticodon CAC),Un
105447725,TRNAV-AAC,,transfer RNA valine (anticodon AAC),Un
105447723,TRNAI-UAU,,transfer RNA isoleucine (anticodon UAU),Un
105447721,TRNAI-AAU,,transfer RNA isoleucine (anticodon AAU),Un
105447717,TRNAL-AAG,,transfer RNA leucine (anticodon AAG),Un
105447773,TRNAG-CCC,,transfer RNA glycine (anticodon CCC),Un
105447771,TRNAG-GCC,,transfer RNA glycine (anticodon GCC),Un
105447766,TRNAR-UCU,,transfer RNA arginine (anticodon UCU),Un
105447762,TRNAR-ACG,,transfer RNA arginine (anticodon ACG),Un
105447761,TRNAW-CCA,,transfer RNA tryptophan (anticodon CCA),Un
105447757,TRNAE-UUC,,transfer RNA glutamic acid (anticodon UUC),Un
105447756,TRNAD-GUC,,transfer RNA aspartic acid (anticodon GUC),Un
105447754,TRNAK-CUU,,transfer RNA lysine (anticodon CUU),Un
105447753,TRNAK-UUU,,transfer RNA lysine (anticodon UUU),Un
105447752,TRNAN-GUU,,transfer RNA asparagine (anticodon GUU),Un
105447735,TRNAP-UGG,,transfer RNA proline (anticodon UGG),Un
105447733,TRNAP-AGG,,transfer RNA proline (anticodon AGG),Un
105447727,TRNAV-UAC,,transfer RNA valine (anticodon UAC),Un
105447724,TRNAM-CAU,,transfer RNA methionine (anticodon CAU),Un
105447714,TRNAF-GAA,,transfer RNA phenylalanine (anticodon GAA),Un
105590357,CXCR4,,C-X-C motif chemokine receptor 4,Un
105572988,APOBEC3G,,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,Un
105578889,TRIM5,,tripartite motif containing 5,Un
105589780,PARP9,,poly(ADP-ribose) polymerase family member 9,Un
105575796,APOL1,,apolipoprotein L1,Un
105600415,TLR4,,toll like receptor 4,Un
105583039,CD4,,CD4 molecule,Un
105601668,BST2,,bone marrow stromal cell antigen 2,Un
105575249,CCR4,,C-C motif chemokine receptor 4,Un
105596319,CD2,,CD2 molecule,Un
105597175,EIF2AK2,,eukaryotic translation initiation factor 2 alpha kinase 2,Un
105581004,LYZ,,lysozyme,Un
105575472,MX1,,MX dynamin like GTPase 1,Un
105582352,SAMHD1,,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,Un
105578890,TRIM22,,tripartite motif containing 22,Un
105597557,FASLG,,Fas ligand,Un
105592681,CD40LG,,CD40 ligand,Un
105589768,CD86,,CD86 molecule,Un
105589728,CD80,,CD80 molecule,Un
105587157,FAS,,Fas cell surface death receptor,Un
105580074,CTLA4,,cytotoxic T-lymphocyte associated protein 4,Un
105580070,CD28,,CD28 molecule,Un
105573465,TNF,,tumor necrosis factor,Un
105572533,ERVFRD-1,,endogenous retrovirus group FRD member 1; envelope,Un
105598716,IRAK1,,interleukin 1 receptor associated kinase 1,Un
105595300,IRF3,,interferon regulatory factor 3,Un
105594261,TLR3,,toll like receptor 3,Un
105586809,TRAF6,,TNF receptor associated factor 6,Un
105585549,TLR9,,toll like receptor 9,Un
105584858,TLR1,,toll like receptor 1,Un
105581830,CHUK,,component of inhibitor of nuclear factor kappa B kinase complex,Un
105580685,TLR2,,toll like receptor 2,Un
105577208,IRF7,,interferon regulatory factor 7,Un
105574716,TLR7,,toll like receptor 7,Un
105574715,TLR8,,toll like receptor 8,Un
105574390,IRAK4,,interleukin 1 receptor associated kinase 4,Un
105573904,MYD88,,MYD88 innate immune signal transduction adaptor,Un
105601775,ZNF43,,zinc finger protein 43,Un
105601762,ZNF430,,zinc finger protein 430,Un
105601756,ZNF253,,zinc finger protein 253,Un
105601755,ZNF682,,zinc finger protein 682,Un
105601746,ZNF14,,zinc finger protein 14,Un
105601745,ZNF101,,zinc finger protein 101,Un
105601744,ATP13A1,,ATPase 13A1,Un
105601743,GMIP,,GEM interacting protein,Un
105601742,LPAR2,,lysophosphatidic acid receptor 2,Un
105601741,PBX4,,PBX homeobox 4,Un
105601739,CILP2,,cartilage intermediate layer protein 2,Un
105601738,GATAD2A,,GATA zinc finger domain containing 2A,Un
105601737,TSSK6,,testis specific serine kinase 6,Un
105601736,NDUFA13,,NADH:ubiquinone oxidoreductase subunit A13,Un
105601735,YJEFN3,,YjeF N-terminal domain containing 3,Un
105601734,SUGP1,,SURP and G-patch domain containing 1,Un
105601733,MAU2,,MAU2 sister chromatid cohesion factor,Un
105601732,TM6SF2,,transmembrane 6 superfamily member 2,Un
105601731,HAPLN4,,hyaluronan and proteoglycan link protein 4,Un
105601730,NCAN,,neurocan,Un
105601729,TERF2IP,,TERF2 interacting protein,Un
105601727,RFXANK,,regulatory factor X associated ankyrin containing protein,Un
105601726,NR2C2AP,,nuclear receptor 2C2 associated protein,Un
105601725,TMEM161A,,transmembrane protein 161A,Un
105601724,SUGP2,,SURP and G-patch domain containing 2,Un
105601723,ARMC6,,armadillo repeat containing 6,Un
105601721,SLC25A42,,solute carrier family 25 member 42,Un
105601720,HOMER3,,homer scaffold protein 3,Un
105601718,COPE,,COPI coat complex subunit epsilon,Un
105601717,DDX49,,DEAD-box helicase 49,Un
105601716,GDF1,,growth differentiation factor 1,Un
105601715,UPF1,,UPF1 RNA helicase and ATPase,Un
105601714,COMP,,cartilage oligomeric matrix protein,Un
105601713,CRTC1,,CREB regulated transcription coactivator 1,Un
105601712,KLHL26,,kelch like family member 26,Un
105601711,TMEM59L,,transmembrane protein 59 like,Un
105601710,REX1BD,,required for excision 1-B domain containing,Un
105601709,CRLF1,,cytokine receptor like factor 1,Un
105601708,UBA52,,ubiquitin A-52 residue ribosomal protein fusion product 1,Un
105601707,KXD1,,KxDL motif containing 1,Un
105601706,FKBP8,,FKBP prolyl isomerase 8,Un
105601705,ELL,,elongation factor for RNA polymerase II,Un
105601704,CAPRIN2,,caprin family member 2,Un
105601703,ISYNA1,,inositol-3-phosphate synthase 1,Un
105601702,SSBP4,,single stranded DNA binding protein 4,Un
105601701,LRRC25,,leucine rich repeat containing 25,Un
105601700,GDF15,,growth differentiation factor 15,Un
105601699,PGPEP1,,pyroglutamyl-peptidase I,Un
105601698,LSM4,,LSM4 homolog; U6 small nuclear RNA and mRNA degradation associated,Un
105601697,JUND,,JunD proto-oncogene; AP-1 transcription factor subunit,Un
105601696,IQCN,,IQ motif containing N,Un
105601694,PDE4C,,phosphodiesterase 4C,Un
105601693,RAB3A,,RAB3A; member RAS oncogene family,Un
105601692,MPV17L2,,MPV17 mitochondrial inner membrane protein like 2,Un
105601691,IFI30,,IFI30 lysosomal thiol reductase,Un
105601690,IPO8,,importin 8,Un
105601689,MAST3,,microtubule associated serine/threonine kinase 3,Un
105601688,IL12RB1,,interleukin 12 receptor subunit beta 1,Un
105601686,ARRDC2,,arrestin domain containing 2,Un
105601684,KCNN1,,potassium calcium-activated channel subfamily N member 1,Un
105601683,CCDC124,,coiled-coil domain containing 124,Un
105601680,RPL18A,,ribosomal protein L18a,Un
105601679,JAK3,,Janus kinase 3,Un
105601678,INSL3,,insulin like 3,Un
105601677,B3GNT3,,UDP-GlcNAc:betaGal beta-1;3-N-acetylglucosaminyltransferase 3,Un
105601676,MAP1S,,microtubule associated protein 1S,Un
105601675,UNC13A,,unc-13 homolog A,Un
105601674,NIBAN3,,niban apoptosis regulator 3,Un
105601673,COLGALT1,,collagen beta(1-O)galactosyltransferase 1,Un
105601672,PGLS,,6-phosphogluconolactonase,Un
105601671,SLC27A1,,solute carrier family 27 member 1,Un
105601670,NXNL1,,nucleoredoxin like 1,Un
105601669,MVB12A,,multivesicular body subunit 12A,Un
105601666,PLVAP,,plasmalemma vesicle associated protein,Un
105601665,GTPBP3,,GTP binding protein 3; mitochondrial,Un
105601664,ANO8,,anoctamin 8,Un
105601663,DDA1,,DET1 and DDB1 associated 1,Un
105601662,MRPL34,,mitochondrial ribosomal protein L34,Un
105601661,ABHD8,,abhydrolase domain containing 8,Un
105601660,ANKLE1,,ankyrin repeat and LEM domain containing 1,Un
105601659,BABAM1,,BRISC and BRCA1 A complex member 1,Un
105601658,USHBP1,,USH1 protein network component harmonin binding protein 1,Un
105601657,OCEL1,,occludin/ELL domain containing 1,Un
105601656,NR2F6,,nuclear receptor subfamily 2 group F member 6,Un
105601655,USE1,,unconventional SNARE in the ER 1,Un
105601654,MYO9B,,myosin IXB,Un
105601653,HAUS8,,HAUS augmin like complex subunit 8,Un
105601652,CPAMD8,,C3 and PZP like alpha-2-macroglobulin domain containing 8,Un
105601651,F2RL3,,F2R like thrombin or trypsin receptor 3,Un
105601650,TMTC1,,transmembrane O-mannosyltransferase targeting cadherins 1,Un
105601649,SIN3B,,SIN3 transcription regulator family member B,Un
105601648,NWD1,,NACHT and WD repeat domain containing 1,Un
105601647,TMEM38A,,transmembrane protein 38A,Un
105601646,SMIM7,,small integral membrane protein 7,Un
105601645,OVCH1,,ovochymase 1,Un
105601644,MED26,,mediator complex subunit 26,Un
105601643,SLC35E1,,solute carrier family 35 member E1,Un
105601642,CHERP,,calcium homeostasis endoplasmic reticulum protein,Un
105601639,EPS15L1,,epidermal growth factor receptor pathway substrate 15 like 1,Un
105601637,KLF2,,Kruppel like factor 2,Un
105601636,AP1M1,,adaptor related protein complex 1 subunit mu 1,Un
105601635,FAM32A,,family with sequence similarity 32 member A,Un
105601634,CIB3,,calcium and integrin binding family member 3,Un
105601633,HSH2D,,hematopoietic SH2 domain containing,Un
105601632,TPM4,,tropomyosin 4,Un
105601628,CYP4F11,,cytochrome P450 family 4 subfamily F member 11,Un
105601627,CYP4F2,,cytochrome P450 family 4 subfamily F member 2,Un
105601621,ERGIC2,,ERGIC and golgi 2,Un
105601616,CYP4F57,,cytochrome P450 family 4 subfamily F member 57,Un
105601615,CYP4F8,,cytochrome P450 family 4 subfamily F member 8,Un
105601614,CYP4F3,,cytochrome P450 family 4 subfamily F member 3,Un
105601613,CYP4F22,,cytochrome P450 family 4 subfamily F member 22,Un
105601612,FAR2,,fatty acyl-CoA reductase 2,Un
105601611,RASAL3,,RAS protein activator like 3,Un
105601609,WIZ,,WIZ zinc finger,Un
105601608,AKAP8L,,A-kinase anchoring protein 8 like,Un
105601607,EPHX3,,epoxide hydrolase 3,Un
105601606,NOTCH3,,notch receptor 3,Un
105601605,SYDE1,,synapse defective Rho GTPase homolog 1,Un
105601603,ILVBL,,ilvB acetolactate synthase like,Un
105601601,CCDC105,,coiled-coil domain containing 105,Un
105601600,SLC1A6,,solute carrier family 1 member 6,Un
105601595,ZNF333,,zinc finger protein 333,Un
105601594,ADGRE3,,adhesion G protein-coupled receptor E3,Un
105601593,CLEC17A,,C-type lectin domain containing 17A,Un
105601592,NDUFB7,,NADH:ubiquinone oxidoreductase subunit B7,Un
105601591,TECR,,trans-2;3-enoyl-CoA reductase,Un
105601590,DNAJB1,,DnaJ heat shock protein family (Hsp40) member B1,Un
