GeneID,Symbol,link,description,chromosome
103218480,CD4,,CD4 molecule,Un
103248194,TYR,,tyrosinase,Un
103226533,PEG10,,paternally expressed 10,Un
103219368,IFNA2,,interferon alpha 2,12
103241849,H19,,H19; imprinted maternally expressed transcript (non-protein coding),Un
103240356,TAAR3,,trace amine-associated receptor 3,Un
103235017,LHB,,luteinizing hormone subunit beta,Un
103224311,CLCC1,,chloride channel CLIC like 1,Un
103217378,KRTAP13-3,,keratin-associated protein 13-3,Un
103217353,KRTAP13-1L,,keratin-associated protein 13-1like,Un
103235281,LOC103235281,,killer cell immunoglobulin-like receptor 2DL4,Un
103235276,LOC103235276,,killer cell immunoglobulin-like receptor 3DL3,Un
103221775,LOC103221775,,patr class I histocompatibility antigen; B-2 alpha chain,Un
103221700,LOC103221700,,HLA class II histocompatibility antigen; DR beta 3 chain,Un
103221786,LOC103221786,,class I histocompatibility antigen; Gogo-B*0101 alpha chain,Un
103221779,LOC103221779,,patr class I histocompatibility antigen; B-2 alpha chain-like,Un
108663998,APOBEC3B,,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,19
119626817,TNF,,tumor necrosis factor,Un
111258523,TMEM275,,transmembrane protein 275,Un
108449896,CFB,,complement factor B,Un
119618283,LOC119618283,,patr class I histocompatibility antigen; alpha chain E,Un
119623524,LOC119623524,,class I histocompatibility antigen; Gogo-B*0103 alpha chain-like,Un
103223335,APOBEC3H,,apolipoprotein B mRNA editing enzyme catalytic subunit 3H,Un
103247880,TRIM22,,tripartite motif containing 22,Un
103242548,TRPV1,,transient receptor potential cation channel subfamily V member 1,16
103242323,TP53,,tumor protein p53,Un
103241350,EIF2AK3,,eukaryotic translation initiation factor 2 alpha kinase 3,Un
103240389,ADM,,adrenomedullin,Un
103238976,HSP90B1,,heat shock protein 90 beta family member 1,Un
103231127,NTRK3,,neurotrophic receptor tyrosine kinase 3,29
103218507,CD163,,CD163 molecule,Un
103218043,GPR55,,G protein-coupled receptor 55,Un
103216548,SAMHD1,,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,Un
103214406,RB1,,RB transcriptional corepressor 1,Un
103223334,APOBEC3G,,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,Un
103246953,ACTB,,actin beta,Un
103246306,TGM2,,transglutaminase 2,Un
103244857,HAVCR1,,hepatitis A virus cellular receptor 1,Un
103238188,NELL2,,neural EGFL like 2,Un
103235063,FAM111A,,FAM111 trypsin like peptidase A,Un
103231639,ACE2,,angiotensin converting enzyme 2,Un
103228476,GPR15,,G protein-coupled receptor 15,Un
103228088,RAB7A,,RAB7A; member RAS oncogene family,Un
103227651,MON1A,,MON1 homolog A; secretory trafficking associated,Un
103227527,CXCR6,,C-X-C motif chemokine receptor 6,Un
103219191,TMPRSS2,,transmembrane serine protease 2,Un
103241836,CCR4,,C-C motif chemokine receptor 4,Un
103240075,CNR1,,cannabinoid receptor 1,Un
103226680,NAPEPLD,,N-acyl phosphatidylethanolamine phospholipase D,Un
103226584,TSC2,,TSC complex subunit 2,Un
103216995,CXCR4,,C-X-C motif chemokine receptor 4,Un
103248489,DRD2,,dopamine receptor D2,Un
103248018,PLEKHB1,,pleckstrin homology domain containing B1,Un
103246160,ATP8A1,,ATPase phospholipid transporting 8A1,Un
103245015,DRD1,,dopamine receptor D1,23
103235103,KLK3,,kallikrein related peptidase 3,Un
103215860,GLUD1,,glutamate dehydrogenase 1,Un
103248683,UBASH3B,,ubiquitin associated and SH3 domain containing B,Un
103223899,SHC1,,SHC adaptor protein 1,Un
103247901,HBB,,hemoglobin subunit beta,Un
103223333,APOBEC3C,,apolipoprotein B mRNA editing enzyme catalytic subunit 3C,Un
103221731,STK19,,serine/threonine kinase 19,Un
103239151,PTPN11,,protein tyrosine phosphatase non-receptor type 11,Un
103245781,MAPKBP1,,mitogen-activated protein kinase binding protein 1,Un
103240115,MAP3K7,,mitogen-activated protein kinase kinase kinase 7,Un
103239600,TRAF2,,TNF receptor associated factor 2,Un
103227444,CTNNB1,,catenin beta 1,22
103224963,PTPRF,,protein tyrosine phosphatase receptor type F,20
103248756,ITCH,,itchy E3 ubiquitin protein ligase,Un
103246333,FBXL5,,F-box and leucine rich repeat protein 5,Un
103245581,NEDD4,,NEDD4 E3 ubiquitin protein ligase,Un
103244166,BCL2,,BCL2 apoptosis regulator,Un
103221704,MHC-DRA,,major histocompatibility complex; class II; DR alpha,Un
103221698,MHC-DQA1,,major histocompatibility complex; class II; DQ alpha 1,Un
103221696,MHC-DQB1,,major histocompatibility complex; class II; DQ beta 1,Un
103248629,CBL,,Cbl proto-oncogene,Un
103242474,RASD1,,ras related dexamethasone induced 1,Un
103242013,TNK2,,tyrosine kinase non receptor 2,Un
103234395,NCAN,,neurocan,Un
103234125,NR2F6,,nuclear receptor subfamily 2 group F member 6,Un
103226055,EGFR,,epidermal growth factor receptor,Un
103244581,IL9,,interleukin 9,Un
103241278,IL1B,,interleukin 1 beta,Un
103237005,IL7,,interleukin 7,Un
103236305,IL15,,interleukin 15,7
103235786,CXCL8,,C-X-C motif chemokine ligand 8,Un
103226390,IL6,,interleukin 6,Un
103222167,ERVFRD-1,,endogenous retrovirus group FRD member 1; envelope,Un
103249076,FLT1,,fms related receptor tyrosine kinase 1,Un
103249075,PAN3,,poly(A) specific ribonuclease subunit PAN3,Un
103249072,FLT3,,fms related receptor tyrosine kinase 3,Un
103249068,URAD,,ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase,Un
103249067,CDX2,,caudal type homeobox 2,Un
103249066,PDX1,,pancreatic and duodenal homeobox 1,Un
103249065,GSX1,,GS homeobox 1,Un
103249063,POLR1D,,RNA polymerase I and III subunit D,Un
103249060,LNX2,,ligand of numb-protein X 2,Un
103249059,GTF3A,,general transcription factor IIIA,Un
103249057,MTIF3,,mitochondrial translational initiation factor 3,Un
103249054,RASL11A,,RAS like family 11 member A,Un
103249053,ZNFX1,,zinc finger NFX1-type containing 1,Un
103249052,RPL21,,ribosomal protein L21,Un
103249051,USP12,,ubiquitin specific peptidase 12,Un
103249046,GPR12,,G protein-coupled receptor 12,Un
103249043,WASF3,,WASP family member 3,3
103249040,CDK8,,cyclin dependent kinase 8,Un
