GeneID,Symbol,link,description,chromosome
1,A1BG,https://www.ncbi.nlm.nih.gov/gene/1,alpha-1-B glycoprotein,19q13.43
2,A2M,https://www.ncbi.nlm.nih.gov/gene/2,alpha-2-macroglobulin,12p13.31
3,A2MP1,https://www.ncbi.nlm.nih.gov/gene/3,alpha-2-macroglobulin pseudogene 1,12p13.31
9,NAT1,https://www.ncbi.nlm.nih.gov/gene/9,N-acetyltransferase 1,8p22
10,NAT2,https://www.ncbi.nlm.nih.gov/gene/10,N-acetyltransferase 2,8p22
11,NATP,https://www.ncbi.nlm.nih.gov/gene/11,N-acetyltransferase pseudogene,8p22
12,SERPINA3,https://www.ncbi.nlm.nih.gov/gene/12,serpin family A member 3,14q32.13
13,AADAC,https://www.ncbi.nlm.nih.gov/gene/13,arylacetamide deacetylase,3q25.1
14,AAMP,https://www.ncbi.nlm.nih.gov/gene/14,angio associated migratory cell protein,2q35
15,AANAT,https://www.ncbi.nlm.nih.gov/gene/15,aralkylamine N-acetyltransferase,17q25.1
16,AARS1,https://www.ncbi.nlm.nih.gov/gene/16,alanyl-tRNA synthetase 1,16q22.1
17,AAVS1,https://www.ncbi.nlm.nih.gov/gene/17,adeno-associated virus integration site 1,19q13
18,ABAT,https://www.ncbi.nlm.nih.gov/gene/18,4-aminobutyrate aminotransferase,16p13.2
19,ABCA1,https://www.ncbi.nlm.nih.gov/gene/19,ATP binding cassette subfamily A member 1,9q31.1
20,ABCA2,https://www.ncbi.nlm.nih.gov/gene/20,ATP binding cassette subfamily A member 2,9q34.3
21,ABCA3,https://www.ncbi.nlm.nih.gov/gene/21,ATP binding cassette subfamily A member 3,16p13.3
22,ABCB7,https://www.ncbi.nlm.nih.gov/gene/22,ATP binding cassette subfamily B member 7,Xq13.3
23,ABCF1,https://www.ncbi.nlm.nih.gov/gene/23,ATP binding cassette subfamily F member 1,6p21.33
24,ABCA4,https://www.ncbi.nlm.nih.gov/gene/24,ATP binding cassette subfamily A member 4,1p22.1
25,ABL1,https://www.ncbi.nlm.nih.gov/gene/25,ABL proto-oncogene 1; non-receptor tyrosine kinase,9q34.12
26,AOC1,https://www.ncbi.nlm.nih.gov/gene/26,amine oxidase copper containing 1,7q36.1
27,ABL2,https://www.ncbi.nlm.nih.gov/gene/27,ABL proto-oncogene 2; non-receptor tyrosine kinase,1q25.2
28,ABO,https://www.ncbi.nlm.nih.gov/gene/28,ABO; alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase,9q34.2
29,ABR,https://www.ncbi.nlm.nih.gov/gene/29,ABR activator of RhoGEF and GTPase,17p13.3
30,ACAA1,https://www.ncbi.nlm.nih.gov/gene/30,acetyl-CoA acyltransferase 1,3p22.2
31,ACACA,https://www.ncbi.nlm.nih.gov/gene/31,acetyl-CoA carboxylase alpha,17q12
32,ACACB,https://www.ncbi.nlm.nih.gov/gene/32,acetyl-CoA carboxylase beta,12q24.11
33,ACADL,https://www.ncbi.nlm.nih.gov/gene/33,acyl-CoA dehydrogenase long chain,2q34
34,ACADM,https://www.ncbi.nlm.nih.gov/gene/34,acyl-CoA dehydrogenase medium chain,1p31.1
35,ACADS,https://www.ncbi.nlm.nih.gov/gene/35,acyl-CoA dehydrogenase short chain,12q24.31
36,ACADSB,https://www.ncbi.nlm.nih.gov/gene/36,acyl-CoA dehydrogenase short/branched chain,10q26.13
37,ACADVL,https://www.ncbi.nlm.nih.gov/gene/37,acyl-CoA dehydrogenase very long chain,17p13.1
38,ACAT1,https://www.ncbi.nlm.nih.gov/gene/38,acetyl-CoA acetyltransferase 1,11q22.3
39,ACAT2,https://www.ncbi.nlm.nih.gov/gene/39,acetyl-CoA acetyltransferase 2,6q25.3
40,ASIC2,https://www.ncbi.nlm.nih.gov/gene/40,acid sensing ion channel subunit 2,17q11.2-q12
41,ASIC1,https://www.ncbi.nlm.nih.gov/gene/41,acid sensing ion channel subunit 1,12q13.12
43,ACHE,https://www.ncbi.nlm.nih.gov/gene/43,acetylcholinesterase (Cartwright blood group),7q22.1
47,ACLY,https://www.ncbi.nlm.nih.gov/gene/47,ATP citrate lyase,17q21.2
48,ACO1,https://www.ncbi.nlm.nih.gov/gene/48,aconitase 1,9p21.1
49,ACR,https://www.ncbi.nlm.nih.gov/gene/49,acrosin,22q13.33
50,ACO2,https://www.ncbi.nlm.nih.gov/gene/50,aconitase 2,22q13.2
51,ACOX1,https://www.ncbi.nlm.nih.gov/gene/51,acyl-CoA oxidase 1,17q25.1
52,ACP1,https://www.ncbi.nlm.nih.gov/gene/52,acid phosphatase 1,2p25.3
53,ACP2,https://www.ncbi.nlm.nih.gov/gene/53,acid phosphatase 2; lysosomal,11p11.2
54,ACP5,https://www.ncbi.nlm.nih.gov/gene/54,acid phosphatase 5; tartrate resistant,19p13.2
55,ACP3,https://www.ncbi.nlm.nih.gov/gene/55,acid phosphatase 3,3q22.1
56,ACRV1,https://www.ncbi.nlm.nih.gov/gene/56,acrosomal vesicle protein 1,11q24.2
58,ACTA1,https://www.ncbi.nlm.nih.gov/gene/58,actin alpha 1; skeletal muscle,1q42.13
