GeneID,Symbol,link,description,chromosome
574288,TRIM5,,tripartite motif containing 5,14
574140,SLC6A4,,solute carrier family 6 member 4,16
711832,MAMU-A,,major histocompatibility complex; class I; A,4
574398,APOBEC3G,,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,10
735311,CCR5,,C-C motif chemokine receptor 5,2
716823,MAMU-DQB1,,major histocompatibility complex; class II; DQ beta 1,4
700391,MAMU-B,,MHC class I antigen,4
719092,BST2,,bone marrow stromal cell antigen 2,19
574306,KISS1,,KiSS-1 metastasis suppressor,1
574141,OPRM1,,opioid receptor mu 1,4
100125567,MAMU-KIR,,killer immunoglobulin-like receptor KIR3DH-like 5,19
720582,MAMU-DQA1,,major histocompatibility complex; class II; DQ alpha 1,4
701504,LOC701504,,immunoglobulin kappa light chain,13
715368,HBG2,,hemoglobin; gamma G,14
100135775,PDCD1,,programmed cell death 1,12
574211,CD209,,CD209 molecule,19
664730,TPH2,,tryptophan hydroxylase 2,11
720372,MAMU-I,,major histocompatibility complex; class I; I,4
699243,MAMU-A3,,major histocompatibility complex; class I; A,4
708371,MAOA,,monoamine oxidase A,X
694181,DRD2,,dopamine receptor D2,14
704474,IRF2BPL,,interferon regulatory factor 2 binding protein like,7
713807,CD4,,CD4 molecule,11
574143,SLC6A3,,solute carrier family 6 member 3,6
574292,TLR8,,toll like receptor 8,X
722782,KIR2DL4,,killer cell immunoglobulin like receptor; two Ig domains and long cytoplasmic tail 4,19
717068,OXT,,oxytocin/neurophysin I prepropeptide,10
707329,CXCR4,,C-X-C motif chemokine receptor 4,12
613033,GNRH1,,gonadotropin releasing hormone 1,8
574142,CNR1,,cannabinoid receptor 1,4
707682,ADH1A,,alcohol dehydrogenase 1A (class I); alpha polypeptide,5
574280,GHRL,,ghrelin and obestatin prepropeptide,2
574151,IL18,,interleukin 18,14
718370,SELENOW,,selenoprotein W,19
701245,BDNF,,brain derived neurotrophic factor,14
100125563,KIR3DH5,,killer-cell Ig-like receptor KIR3DH5,19
717859,PRNP,,prion protein,10
715467,TNF,,tumor necrosis factor,4
735306,KIR3DH,,killer cell immunoglobulin-like receptor; 3 domains; hybrid,19
694991,HTR1A,,5-hydroxytryptamine receptor 1A,6
574209,VEGFA,,vascular endothelial growth factor A,4
694931,IL10,,interleukin 10,1
613268,CD1D,,CD1d molecule,1
574282,IFNG,,interferon gamma,11
717969,MAMU-DPB,,major histocompatibility complex; class II; DP beta,4
718156,GH1,,growth hormone 1,16
722783,KIR3DL21,,killer cell immunoglobulin-like receptor; three domains; long cytoplasmic tail; 21,19
702877,CRH,,corticotropin releasing hormone,8
619516,GNRH2,,gonadotropin releasing hormone 2,10
704295,ADORA3,,adenosine A3 receptor,1
714623,APOE,,apolipoprotein E,19
574122,RTD1A,,demidefensin 2,8
574192,DMBT1,,deleted in malignant brain tumors 1,9
574281,IL4,,interleukin 4,6
574230,CHRNA7,,cholinergic receptor nicotinic alpha 7 subunit,7
574293,AR,,androgen receptor,X
574190,PPARG,,peroxisome proliferator activated receptor gamma,2
100187587,MAMU-DRA,,major histocompatibility complex; class II; DR alpha,4
100141394,MAMU-B18,,major histocompatibility complex; class I; B,4
574290,TLR2,,toll like receptor 2,5
574291,TLR7,,toll like receptor 7,X
698329,CD8A,,CD8a molecule,13
574178,CCL5,,C-C motif chemokine ligand 5,16
106992315,TGFB1,,transforming growth factor beta 1,19
100125577,KIR3DL11,,killer immunoglobulin-like receptor KIR3DL11,19
723812,APOBEC3F,,apolipoprotein B mRNA editing enzyme catalytic subunit 3F,10
698728,LEP,,leptin,3
100428228,MAMU-DRB5,,HLA class II histocompatibility antigen; DRB1-4 beta chain,4
