ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID
156427			
139282	growth associated protein 43	GAP43	2596
131316	gephyrin	GPHN	10243
235751			
696770			
212224			
108888	kinesin family member 21A	KIF21A	55605
708044			
178946	CD1a molecule	CD1A	909
233299			
179411			
220912			
115338	catenin alpha 1	CTNNA1	1495
698913			
206927	Src-like-adaptor	SLA	6503
139705	caspase 14	CASP14	23581
110723			
223159	testis specific 10 interacting protein	TSGA10IP	254187
705915			
135547	sarcolemma associated protein	SLMAP	7871
230819			
185825	hematological and neurological expressed 1	HN1	51155
202838	zinc finger protein 32	ZNF32	7580
151544			
161158	chromosome 11 open reading frame 63	C11orf63	79864
157905	ring finger protein 40	RNF40	9810
106681			
222530			
195365			
231949			
161075	coagulation factor IX	F9	2158
158415			
699339			
150281			
167465	RNA polymerase III subunit A	POLR3A	11128
105421	interaction protein for cytohesin exchange factors 1	IPCEF1	26034
228132			
168099	polypeptide N-acetylgalactosaminyltransferase 6	GALNT6	11226
144248	cartilage acidic protein 1	CRTAC1	55118
173658			
207283	hemochromatosis	HFE	3077
232106			
111349			
189331			
235132	zinc finger protein 319	ZNF319	57567
165770			
160223	RNA binding motif protein 33	RBM33	155435
188632	timeless circadian clock	TIMELESS	8914
232497	autophagy related 9B	ATG9B	285973
208657	HtrA serine peptidase 3	HTRA3	94031
133973	sulfotransferase family 1C member 2	SULT1C2	6819
174485	speckle type BTB/POZ protein like	SPOPL	339745
148963	nuclear receptor subfamily 0 group B member 1	NR0B1	190
231881			
640362			
190555	cathepsin O	CTSO	1519
109254			
199568			
699594			
216971	solute carrier family 38 member 9	SLC38A9	153129
236166			
114607	protein phosphatase 1 regulatory subunit 21	PPP1R21	129285
103475	VPS53; GARP complex subunit	VPS53	55275
515240			
198499	protein tyrosine kinase 2 beta	PTK2B	2185
234034			
201953	gelsolin	GSN	2934
143308			
152737			
139135	neurocan	NCAN	1463
224053	transcription elongation factor A like 8	TCEAL8	90843
153552	rotatin	RTTN	25914
236934			
228502			
118556	sortilin related VPS10 domain containing receptor 2	SORCS2	57537
144980	CDC like kinase 4	CLK4	57396
195916	leukocyte immunoglobulin like receptor A2	LILRA2	11027
106765	olfactory receptor family 52 subfamily J member 3	OR52J3	119679
200749			
178041	transmembrane inner ear	TMIE	259236
112612	retinol binding protein 2	RBP2	5948
102836	adhesion G protein-coupled receptor D1	ADGRD1	283383
236389			
128500	small EDRK-rich factor 1B///small EDRK-rich factor 1A	SERF1B///SERF1A	728492///8293
160378	ADP-ribosylarginine hydrolase	ADPRH	141
715844			
100244	membrane palmitoylated protein 6	MPP6	51678
194460			
120271	pentatricopeptide repeat domain 1	PTCD1	26024
408619			
183260			
189490	nuclear receptor subfamily 3 group C member 2	NR3C2	4306
152479	isopentenyl-diphosphate delta isomerase 2	IDI2	91734
125777			
236300			
189778			
141854	carbonic anhydrase 11	CA11	770
130884	neural cell adhesion molecule 1	NCAM1	4684
182021	p21 (RAC1) activated kinase 3	PAK3	5063
162476	FANCD2 opposite strand	FANCD2OS	115795
329508			
207250	isoleucyl-tRNA synthetase 2; mitochondrial	IARS2	55699
114909			
190449			
214951	chymotrypsin like elastase family member 3B	CELA3B	23436
152588	ribosomal protein S3A	RPS3A	6189
186421			
231479			
609295			
165861			
205260			
332180			
126665	RNA binding motif single stranded interacting protein 2	RBMS2	5939
226129	MAS related GPR family member X3	MRGPRX3	117195
161162			
147233			
122258			
688524			
212011	small G protein signaling modulator 2	SGSM2	9905
175262	5'-3' exoribonuclease 2	XRN2	22803
208050			
142147	cytochrome P450 family 4 subfamily F member 22	CYP4F22	126410
181235			
127816	endomucin	EMCN	51705
105620			
100357			
175877	EPH receptor A7	EPHA7	2045
111857	zinc finger and BTB domain containing 10	ZBTB10	65986
134203			
118874	interferon induced transmembrane protein 1	IFITM1	8519
134482	HGH1 homolog	HGH1	51236
183912	diacylglycerol kinase epsilon	DGKE	8526
191050	mitogen-activated protein kinase binding protein 1	MAPKBP1	23005
122015			
224390	ribosomal protein S15	RPS15	6209
170092	MAU2 sister chromatid cohesion factor	MAU2	23383
122888			
133475	keratin associated protein 3-1	KRTAP3-1	83896
155086			
214357	Down syndrome critical region 4	DSCR4	10281
233760			
452988			
193078	COX20; cytochrome c oxidase assembly factor	COX20	116228
127546	proteasome activator subunit 2	PSME2	5721
203496	attractin like 1	ATRNL1	26033
201771	chromosome 16 open reading frame 46	C16orf46	123775
119244			
188476			
205920	WD repeat domain 26	WDR26	80232
131485			
235513			
208317			
231499			
206345	anaphase promoting complex subunit 11	ANAPC11	51529
100552	ATP synthase; H+ transporting; mitochondrial Fo complex subunit B1	ATP5F1	515
170546			
106723	protein-L-isoaspartate (D-aspartate) O-methyltransferase	PCMT1	5110
183516	homocysteine inducible ER protein with ubiquitin like domain 1	HERPUD1	9709
117284			
159794	angiopoietin 4	ANGPT4	51378
190749			
199772	family with sequence similarity 20 member C	FAM20C	56975
168643	solute carrier family 28 member 3	SLC28A3	64078
206102			
229316			
180933			
158756	RNA binding motif protein 39	RBM39	9584
202646			
186923	3'-phosphoadenosine 5'-phosphosulfate synthase 1	PAPSS1	9061
125249	ArfGAP with FG repeats 2	AGFG2	3268
129379			
587239			
146543	roundabout guidance receptor 4	ROBO4	54538
236580	adhesion G protein-coupled receptor A3	ADGRA3	166647
106688	DNA polymerase epsilon; catalytic subunit	POLE	5426
122985	inositol polyphosphate-5-phosphatase F	INPP5F	22876
156272			
161258			
159331			
130201			
153296			
116653			
